a,b,answer
8.8,8.13,1
13.7,13.11,1
5.6,5.12,1
11.12,11.9,2
13.11,13.8,2
5.11,5.7,2
17.8,17.13,1
19.12,19.7,2
2.7,2.13,1
17.8,17.12,1
10.7,10.13,1
12.7,12.11,1
18.8,18.13,1
6.8,6.12,1
18.6,18.13,1
6.9,6.12,1
8.9,8.13,1
13.7,13.12,1
6.12,6.9,2
5.7,5.11,1
6.7,6.12,1
3.9,3.12,1
4.8,4.12,1
7.12,7.7,2
15.7,15.11,1
16.8,16.12,1
3.9,3.12,1
15.13,15.7,2
6.9,6.11,1
19.11,19.9,2
1.8,1.11,1
18.7,18.13,1
6.9,6.13,1
20.8,20.12,1
18.9,18.13,1
13.7,13.11,1
3.12,3.9,2
20.7,20.11,1
9.6,9.13,1
8.13,8.9,2
4.8,4.12,1
15.8,15.12,1
8.8,8.11,1
7.8,7.12,1
5.9,5.12,1
19.8,19.11,1
19.8,19.12,1
3.12,3.6,2
9.7,9.11,1
18.9,18.11,1
2.7,2.12,1
1.11,1.8,2
9.6,9.12,1
14.8,14.11,1
9.7,9.12,1
2.9,2.13,1
12.6,12.12,1
20.12,20.8,2
11.7,11.12,1
18.12,18.8,2
19.12,19.8,2
2.6,2.12,1
2.9,2.11,1
14.8,14.12,1
3.13,3.8,2
17.7,17.12,1
16.11,16.8,2
19.7,19.13,1
16.11,16.7,2
10.7,10.11,1
12.11,12.7,2
1.8,1.11,1
3.12,3.6,2
20.7,20.12,1
9.7,9.12,1
1.7,1.12,1
14.7,14.13,1
13.8,13.13,1
19.7,19.11,1
13.6,13.11,1
13.8,13.11,1
3.13,3.8,2
16.7,16.12,1
13.9,13.12,1
5.7,5.11,1
20.8,20.12,1
14.7,14.12,1
18.9,18.13,1
12.9,12.11,1
10.11,10.7,2
17.8,17.12,1
8.12,8.9,2
13.12,13.7,2
7.7,7.13,1
2.7,2.13,1
10.7,10.12,1
19.8,19.11,1
5.7,5.13,1
17.7,17.12,1
12.11,12.8,2
