a,b,answer
18.12,18.8,2
13.13,13.8,2
2.7,2.12,1
6.7,6.12,1
10.11,10.8,2
19.7,19.12,1
5.7,5.11,1
9.6,9.11,1
18.12,18.7,2
20.8,20.11,1
19.9,19.12,1
5.7,5.13,1
7.7,7.12,1
19.8,19.11,1
17.9,17.12,1
16.13,16.7,2
2.9,2.12,1
3.12,3.7,2
8.6,8.11,1
4.6,4.12,1
3.9,3.11,1
9.8,9.12,1
13.12,13.6,2
6.12,6.8,2
6.7,6.12,1
15.12,15.6,2
15.6,15.11,1
5.11,5.8,2
11.6,11.12,1
20.8,20.13,1
17.8,17.12,1
19.13,19.6,2
1.9,1.11,1
6.12,6.7,2
11.7,11.12,1
10.9,10.11,1
20.8,20.12,1
5.8,5.13,1
10.9,10.13,1
10.9,10.12,1
11.6,11.12,1
5.7,5.11,1
8.8,8.11,1
5.6,5.12,1
11.7,11.12,1
5.7,5.12,1
18.6,18.12,1
9.6,9.12,1
9.8,9.13,1
20.8,20.12,1
12.11,12.7,2
1.9,1.12,1
3.9,3.12,1
10.9,10.11,1
17.8,17.12,1
12.8,12.12,1
12.7,12.12,1
5.9,5.13,1
2.8,2.12,1
7.9,7.13,1
3.9,3.12,1
2.8,2.11,1
6.7,6.12,1
14.7,14.12,1
20.8,20.12,1
13.8,13.12,1
15.6,15.13,1
6.12,6.9,2
11.7,11.12,1
16.6,16.12,1
2.7,2.12,1
5.9,5.12,1
1.7,1.13,1
9.8,9.13,1
8.8,8.12,1
11.6,11.12,1
5.8,5.12,1
9.13,9.7,2
1.8,1.12,1
6.8,6.12,1
17.8,17.11,1
19.7,19.11,1
6.13,6.8,2
12.6,12.11,1
15.12,15.7,2
16.11,16.8,2
7.9,7.12,1
2.9,2.11,1
20.7,20.12,1
14.6,14.13,1
19.9,19.12,1
1.12,1.8,2
15.8,15.11,1
8.11,8.7,2
3.11,3.8,2
6.7,6.12,1
13.12,13.7,2
15.8,15.11,1
15.7,15.11,1
15.6,15.12,1
