a,b,answer
7.7,7.12,1
1.12,1.8,2
12.13,12.7,2
10.12,10.7,2
5.11,5.8,2
14.8,14.11,1
16.7,16.13,1
20.9,20.13,1
5.12,5.6,2
6.12,6.8,2
14.7,14.13,1
11.7,11.13,1
20.6,20.11,1
18.8,18.13,1
19.8,19.13,1
11.12,11.7,2
17.12,17.8,2
10.8,10.12,1
8.8,8.11,1
18.9,18.11,1
9.12,9.7,2
6.7,6.12,1
19.8,19.13,1
20.12,20.8,2
17.12,17.6,2
20.9,20.12,1
12.13,12.7,2
3.7,3.11,1
19.9,19.12,1
14.9,14.12,1
8.8,8.13,1
1.11,1.7,2
1.7,1.12,1
2.6,2.12,1
20.11,20.9,2
17.12,17.9,2
20.7,20.11,1
12.9,12.11,1
16.8,16.13,1
7.12,7.7,2
10.9,10.11,1
17.12,17.8,2
3.12,3.6,2
1.11,1.7,2
20.12,20.9,2
8.7,8.12,1
9.8,9.12,1
18.8,18.13,1
7.7,7.12,1
17.9,17.13,1
6.13,6.7,2
8.9,8.12,1
20.9,20.11,1
19.8,19.12,1
5.7,5.13,1
1.12,1.7,2
9.11,9.9,2
13.8,13.13,1
13.7,13.12,1
15.12,15.8,2
10.7,10.12,1
3.6,3.12,1
10.12,10.6,2
15.7,15.12,1
7.7,7.12,1
10.11,10.9,2
19.6,19.13,1
16.12,16.7,2
2.6,2.12,1
4.8,4.12,1
14.12,14.6,2
16.7,16.13,1
2.8,2.13,1
16.8,16.12,1
15.8,15.12,1
13.8,13.12,1
5.12,5.6,2
2.7,2.11,1
16.7,16.12,1
8.7,8.12,1
17.7,17.12,1
7.7,7.12,1
10.8,10.12,1
11.8,11.12,1
3.8,3.13,1
10.6,10.12,1
11.8,11.13,1
18.7,18.11,1
14.7,14.13,1
9.12,9.8,2
14.8,14.12,1
13.6,13.12,1
3.9,3.12,1
4.8,4.12,1
18.7,18.12,1
16.11,16.6,2
14.8,14.12,1
12.7,12.12,1
5.9,5.11,1
12.8,12.13,1
