a,b,answer
13.9,13.12,1
11.8,11.12,1
15.7,15.11,1
16.7,16.13,1
17.12,17.7,2
5.6,5.13,1
1.8,1.13,1
14.13,14.7,2
16.7,16.11,1
19.8,19.11,1
3.12,3.7,2
5.7,5.11,1
9.13,9.9,2
11.7,11.12,1
10.7,10.13,1
7.13,7.7,2
18.8,18.12,1
6.8,6.12,1
18.9,18.12,1
14.7,14.13,1
2.8,2.13,1
11.12,11.9,2
13.12,13.7,2
15.9,15.11,1
12.12,12.7,2
12.8,12.12,1
4.9,4.12,1
9.9,9.12,1
3.8,3.12,1
14.6,14.12,1
19.8,19.12,1
5.7,5.12,1
4.8,4.12,1
19.7,19.12,1
2.8,2.12,1
11.13,11.8,2
13.13,13.8,2
4.11,4.7,2
3.11,3.7,2
20.7,20.13,1
6.8,6.13,1
7.7,7.12,1
10.7,10.12,1
12.9,12.12,1
15.7,15.12,1
18.8,18.12,1
13.13,13.7,2
16.7,16.11,1
4.7,4.13,1
12.7,12.11,1
3.12,3.6,2
15.12,15.7,2
9.6,9.12,1
1.6,1.11,1
11.8,11.11,1
20.12,20.7,2
2.11,2.8,2
14.6,14.13,1
7.7,7.12,1
20.8,20.12,1
15.8,15.11,1
8.12,8.8,2
1.7,1.12,1
10.9,10.11,1
1.7,1.12,1
3.8,3.11,1
11.12,11.8,2
19.9,19.12,1
17.7,17.12,1
12.8,12.11,1
20.7,20.11,1
8.7,8.12,1
20.13,20.8,2
14.11,14.8,2
13.6,13.11,1
16.6,16.13,1
17.8,17.12,1
9.7,9.11,1
12.9,12.13,1
16.6,16.13,1
16.8,16.12,1
13.6,13.12,1
17.11,17.9,2
18.11,18.7,2
7.6,7.11,1
18.7,18.13,1
11.8,11.13,1
7.9,7.12,1
19.9,19.11,1
18.8,18.13,1
14.7,14.13,1
14.8,14.13,1
19.8,19.12,1
14.9,14.12,1
4.8,4.11,1
8.7,8.12,1
6.12,6.8,2
17.8,17.12,1
7.9,7.13,1
15.6,15.12,1
