a,b,answer
8.12,8.8,2
8.9,8.11,1
8.12,8.8,2
16.12,16.6,2
7.8,7.11,1
13.8,13.11,1
15.8,15.11,1
10.9,10.13,1
7.8,7.11,1
5.13,5.6,2
12.7,12.13,1
12.8,12.13,1
13.7,13.12,1
13.9,13.13,1
6.8,6.12,1
11.13,11.7,2
1.12,1.6,2
16.7,16.12,1
5.11,5.8,2
15.13,15.8,2
20.12,20.6,2
3.6,3.13,1
5.7,5.11,1
10.11,10.7,2
1.11,1.7,2
14.7,14.12,1
19.7,19.11,1
16.7,16.13,1
8.7,8.13,1
20.7,20.12,1
12.8,12.12,1
10.12,10.8,2
17.7,17.13,1
2.8,2.13,1
7.8,7.13,1
6.8,6.13,1
8.8,8.13,1
11.7,11.13,1
18.7,18.11,1
1.7,1.12,1
5.13,5.9,2
5.12,5.8,2
16.6,16.13,1
8.7,8.12,1
9.8,9.12,1
16.8,16.11,1
14.8,14.11,1
18.9,18.12,1
17.7,17.11,1
13.7,13.12,1
9.6,9.12,1
2.8,2.11,1
5.6,5.12,1
11.9,11.13,1
8.7,8.12,1
15.9,15.12,1
1.11,1.7,2
2.8,2.13,1
5.12,5.6,2
12.11,12.9,2
10.8,10.11,1
19.7,19.12,1
16.11,16.7,2
1.8,1.12,1
1.11,1.7,2
1.6,1.11,1
18.9,18.12,1
2.6,2.13,1
12.7,12.11,1
2.8,2.13,1
3.9,3.13,1
6.6,6.12,1
19.7,19.12,1
19.8,19.12,1
12.7,12.12,1
11.7,11.13,1
4.8,4.11,1
20.7,20.11,1
5.12,5.7,2
4.12,4.8,2
18.6,18.11,1
10.8,10.12,1
7.6,7.13,1
18.6,18.12,1
13.13,13.9,2
3.7,3.13,1
13.8,13.12,1
3.7,3.12,1
13.12,13.9,2
17.12,17.7,2
5.12,5.6,2
17.7,17.13,1
20.8,20.13,1
13.8,13.11,1
4.7,4.12,1
12.8,12.12,1
12.11,12.8,2
17.9,17.12,1
15.8,15.12,1
3.7,3.12,1
