a,b,answer
20.7,20.11,1
14.8,14.13,1
3.8,3.12,1
18.11,18.7,2
3.8,3.12,1
3.12,3.8,2
15.7,15.11,1
5.7,5.11,1
7.6,7.11,1
17.13,17.8,2
14.7,14.12,1
1.8,1.12,1
3.11,3.6,2
5.11,5.6,2
19.8,19.11,1
20.11,20.6,2
6.8,6.12,1
6.8,6.11,1
13.12,13.8,2
20.7,20.12,1
4.9,4.11,1
12.6,12.12,1
10.8,10.11,1
18.12,18.6,2
14.7,14.11,1
12.6,12.12,1
14.7,14.11,1
6.11,6.7,2
1.8,1.12,1
10.11,10.9,2
12.7,12.12,1
3.6,3.11,1
2.7,2.13,1
2.13,2.7,2
6.9,6.11,1
4.7,4.12,1
19.8,19.11,1
13.11,13.9,2
20.7,20.12,1
17.6,17.12,1
18.8,18.11,1
5.7,5.13,1
11.7,11.12,1
16.7,16.13,1
14.8,14.13,1
4.7,4.12,1
1.12,1.9,2
13.8,13.12,1
3.8,3.11,1
10.8,10.11,1
20.8,20.12,1
14.7,14.12,1
11.11,11.8,2
4.8,4.11,1
16.12,16.6,2
10.11,10.8,2
10.7,10.11,1
16.7,16.13,1
15.12,15.9,2
19.7,19.13,1
5.12,5.7,2
1.9,1.12,1
20.8,20.13,1
12.12,12.8,2
16.11,16.8,2
13.9,13.12,1
17.7,17.12,1
14.8,14.11,1
2.6,2.11,1
12.7,12.12,1
7.8,7.12,1
11.12,11.7,2
18.6,18.12,1
2.12,2.6,2
16.7,16.11,1
8.8,8.13,1
14.7,14.13,1
13.12,13.8,2
16.8,16.13,1
9.12,9.8,2
20.7,20.13,1
2.8,2.12,1
3.12,3.8,2
12.7,12.11,1
2.12,2.7,2
7.7,7.11,1
6.8,6.13,1
5.9,5.12,1
13.8,13.12,1
3.8,3.13,1
12.7,12.11,1
4.7,4.12,1
20.11,20.8,2
3.6,3.13,1
8.6,8.12,1
18.9,18.11,1
8.7,8.12,1
3.13,3.8,2
12.8,12.11,1
3.9,3.12,1
